Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
8,Albania,5312,Area harvested,1354,Strawberries,2020,2020,ha,121,A,Official figure,
8,Albania,5412,Yield,1354,Strawberries,2020,2020,kg/ha,45008.3,A,Official figure,
8,Albania,5510,Production,1354,Strawberries,2020,2020,t,5446,A,Official figure,
8,Albania,5312,Area harvested,1354,Strawberries,2021,2021,ha,120,A,Official figure,
8,Albania,5412,Yield,1354,Strawberries,2021,2021,kg/ha,47853.7,A,Official figure,
8,Albania,5510,Production,1354,Strawberries,2021,2021,t,5723.3,A,Official figure,
8,Albania,5312,Area harvested,1354,Strawberries,2022,2022,ha,131,A,Official figure,
8,Albania,5412,Yield,1354,Strawberries,2022,2022,kg/ha,48051.9,A,Official figure,
8,Albania,5510,Production,1354,Strawberries,2022,2022,t,6290,A,Official figure,
8,Albania,5312,Area harvested,1354,Strawberries,2023,2023,ha,119,A,Official figure,
8,Albania,5412,Yield,1354,Strawberries,2023,2023,kg/ha,53350.1,A,Official figure,
8,Albania,5510,Production,1354,Strawberries,2023,2023,t,6370,A,Official figure,
8,Albania,5312,Area harvested,1354,Strawberries,2024,2024,ha,121,A,Official figure,
8,Albania,5412,Yield,1354,Strawberries,2024,2024,kg/ha,53607.2,A,Official figure,
8,Albania,5510,Production,1354,Strawberries,2024,2024,t,6506.3,A,Official figure,
12,Algeria,5510,Production,1354,Strawberries,2020,2020,t,,M,Missing value; data cannot exist,
12,Algeria,5510,Production,1354,Strawberries,2021,2021,t,,M,Missing value; data cannot exist,
12,Algeria,5510,Production,1354,Strawberries,2022,2022,t,,M,Missing value; data cannot exist,
12,Algeria,5510,Production,1354,Strawberries,2023,2023,t,,M,Missing value; data cannot exist,
12,Algeria,5510,Production,1354,Strawberries,2024,2024,t,,M,Missing value; data cannot exist,
32,Argentina,5312,Area harvested,1354,Strawberries,2020,2020,ha,1400,E,Estimated value,
32,Argentina,5412,Yield,1354,Strawberries,2020,2020,kg/ha,30000,E,Estimated value,
32,Argentina,5510,Production,1354,Strawberries,2020,2020,t,42000,E,Estimated value,
32,Argentina,5312,Area harvested,1354,Strawberries,2021,2021,ha,1419,I,Value imputed by a receiving agency,
32,Argentina,5412,Yield,1354,Strawberries,2021,2021,kg/ha,30016.1,E,Estimated value,
32,Argentina,5510,Production,1354,Strawberries,2021,2021,t,42605.91,I,Value imputed by a receiving agency,
32,Argentina,5312,Area harvested,1354,Strawberries,2022,2022,ha,1551,I,Value imputed by a receiving agency,
32,Argentina,5412,Yield,1354,Strawberries,2022,2022,kg/ha,30019.4,E,Estimated value,
32,Argentina,5510,Production,1354,Strawberries,2022,2022,t,46575,I,Value imputed by a receiving agency,
32,Argentina,5312,Area harvested,1354,Strawberries,2023,2023,ha,1596,I,Value imputed by a receiving agency,
32,Argentina,5412,Yield,1354,Strawberries,2023,2023,kg/ha,30009.1,E,Estimated value,
32,Argentina,5510,Production,1354,Strawberries,2023,2023,t,47902.15,I,Value imputed by a receiving agency,
32,Argentina,5312,Area harvested,1354,Strawberries,2024,2024,ha,1650,I,Value imputed by a receiving agency,
32,Argentina,5412,Yield,1354,Strawberries,2024,2024,kg/ha,30007.8,E,Estimated value,
32,Argentina,5510,Production,1354,Strawberries,2024,2024,t,49527.31,I,Value imputed by a receiving agency,
36,Australia,5312,Area harvested,1354,Strawberries,2020,2020,ha,2337,A,Official figure,
36,Australia,5412,Yield,1354,Strawberries,2020,2020,kg/ha,25250.7,A,Official figure,
36,Australia,5510,Production,1354,Strawberries,2020,2020,t,59006.49,A,Official figure,
36,Australia,5312,Area harvested,1354,Strawberries,2021,2021,ha,3254,I,Value imputed by a receiving agency,
36,Australia,5412,Yield,1354,Strawberries,2021,2021,kg/ha,23893.4,E,Estimated value,
36,Australia,5510,Production,1354,Strawberries,2021,2021,t,77751,A,Official figure,
36,Australia,5312,Area harvested,1354,Strawberries,2022,2022,ha,2904,I,Value imputed by a receiving agency,
36,Australia,5412,Yield,1354,Strawberries,2022,2022,kg/ha,23527,E,Estimated value,
36,Australia,5510,Production,1354,Strawberries,2022,2022,t,68312,A,Official figure,
36,Australia,5312,Area harvested,1354,Strawberries,2023,2023,ha,2793,I,Value imputed by a receiving agency,
36,Australia,5412,Yield,1354,Strawberries,2023,2023,kg/ha,23566.7,E,Estimated value,
36,Australia,5510,Production,1354,Strawberries,2023,2023,t,65824,A,Official figure,
36,Australia,5312,Area harvested,1354,Strawberries,2024,2024,ha,3397,I,Value imputed by a receiving agency,
36,Australia,5412,Yield,1354,Strawberries,2024,2024,kg/ha,23765.9,E,Estimated value,
36,Australia,5510,Production,1354,Strawberries,2024,2024,t,80741,A,Official figure,
40,Austria,5312,Area harvested,1354,Strawberries,2020,2020,ha,1180,A,Official figure,
40,Austria,5412,Yield,1354,Strawberries,2020,2020,kg/ha,11279.7,A,Official figure,
40,Austria,5510,Production,1354,Strawberries,2020,2020,t,13310,A,Official figure,
40,Austria,5312,Area harvested,1354,Strawberries,2021,2021,ha,1200,A,Official figure,
40,Austria,5412,Yield,1354,Strawberries,2021,2021,kg/ha,11891.7,A,Official figure,
40,Austria,5510,Production,1354,Strawberries,2021,2021,t,14270,A,Official figure,
40,Austria,5312,Area harvested,1354,Strawberries,2022,2022,ha,1220,A,Official figure,
40,Austria,5412,Yield,1354,Strawberries,2022,2022,kg/ha,13877,A,Official figure,
40,Austria,5510,Production,1354,Strawberries,2022,2022,t,16930,A,Official figure,
40,Austria,5312,Area harvested,1354,Strawberries,2023,2023,ha,1200,A,Official figure,
40,Austria,5412,Yield,1354,Strawberries,2023,2023,kg/ha,12200,A,Official figure,
40,Austria,5510,Production,1354,Strawberries,2023,2023,t,14640,A,Official figure,
40,Austria,5312,Area harvested,1354,Strawberries,2024,2024,ha,1120,A,Official figure,
40,Austria,5412,Yield,1354,Strawberries,2024,2024,kg/ha,12794.6,A,Official figure,
40,Austria,5510,Production,1354,Strawberries,2024,2024,t,14330,A,Official figure,
50,Bangladesh,5312,Area harvested,1354,Strawberries,2020,2020,ha,15,A,Official figure,
50,Bangladesh,5412,Yield,1354,Strawberries,2020,2020,kg/ha,6671.2,A,Official figure,
50,Bangladesh,5510,Production,1354,Strawberries,2020,2020,t,98,A,Official figure,
50,Bangladesh,5312,Area harvested,1354,Strawberries,2021,2021,ha,17,A,Official figure,
50,Bangladesh,5412,Yield,1354,Strawberries,2021,2021,kg/ha,8207.4,A,Official figure,
50,Bangladesh,5510,Production,1354,Strawberries,2021,2021,t,139,A,Official figure,
50,Bangladesh,5312,Area harvested,1354,Strawberries,2022,2022,ha,26,A,Official figure,
50,Bangladesh,5412,Yield,1354,Strawberries,2022,2022,kg/ha,6423.1,A,Official figure,
50,Bangladesh,5510,Production,1354,Strawberries,2022,2022,t,167,A,Official figure,
50,Bangladesh,5312,Area harvested,1354,Strawberries,2023,2023,ha,34,A,Official figure,
50,Bangladesh,5412,Yield,1354,Strawberries,2023,2023,kg/ha,6176.5,A,Official figure,
50,Bangladesh,5510,Production,1354,Strawberries,2023,2023,t,210,A,Official figure,
50,Bangladesh,5312,Area harvested,1354,Strawberries,2024,2024,ha,45,A,Official figure,
50,Bangladesh,5412,Yield,1354,Strawberries,2024,2024,kg/ha,7977.8,A,Official figure,
50,Bangladesh,5510,Production,1354,Strawberries,2024,2024,t,359,A,Official figure,
112,Belarus,5312,Area harvested,1354,Strawberries,2020,2020,ha,9708,I,Value imputed by a receiving agency,
112,Belarus,5412,Yield,1354,Strawberries,2020,2020,kg/ha,8251.5,E,Estimated value,
112,Belarus,5510,Production,1354,Strawberries,2020,2020,t,80101.92,I,Value imputed by a receiving agency,
112,Belarus,5312,Area harvested,1354,Strawberries,2021,2021,ha,9849,I,Value imputed by a receiving agency,
112,Belarus,5412,Yield,1354,Strawberries,2021,2021,kg/ha,7881.6,E,Estimated value,
112,Belarus,5510,Production,1354,Strawberries,2021,2021,t,77622.73,E,Estimated value,
112,Belarus,5312,Area harvested,1354,Strawberries,2022,2022,ha,9638,E,Estimated value,
112,Belarus,5412,Yield,1354,Strawberries,2022,2022,kg/ha,8061.1,E,Estimated value,
112,Belarus,5510,Production,1354,Strawberries,2022,2022,t,77696.03,E,Estimated value,
112,Belarus,5312,Area harvested,1354,Strawberries,2023,2023,ha,9732,E,Estimated value,
112,Belarus,5412,Yield,1354,Strawberries,2023,2023,kg/ha,8063.9,E,Estimated value,
112,Belarus,5510,Production,1354,Strawberries,2023,2023,t,78473.56,E,Estimated value,
112,Belarus,5312,Area harvested,1354,Strawberries,2024,2024,ha,9739,E,Estimated value,
112,Belarus,5412,Yield,1354,Strawberries,2024,2024,kg/ha,8001.5,E,Estimated value,
112,Belarus,5510,Production,1354,Strawberries,2024,2024,t,77930.78,E,Estimated value,
56,Belgium,5312,Area harvested,1354,Strawberries,2020,2020,ha,1600,A,Official figure,
56,Belgium,5412,Yield,1354,Strawberries,2020,2020,kg/ha,27000,A,Official figure,
56,Belgium,5510,Production,1354,Strawberries,2020,2020,t,43200,A,Official figure,
